ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
DSX,1.6455026455026456,-0.0978812969663234,-0.0471607772025007,,0.0143237061539108,0.3274715103835252,130.293,2026-02-15,2026-02-21T18:20:35.825501+00:00
ECVT,-6.833333333333333,0.3317150526103714,-0.2099778759459873,,-0.1303823540056525,0.2541396828805263,147.58,2026-02-15,2026-02-21T18:20:35.825501+00:00
EDAP,-0.2352941176470588,0.0595465302694862,-0.3181741103164652,,-0.2149993568028815,0.4302903667411197,45.847,2026-02-15,2026-02-21T18:20:35.825501+00:00
EDRY,-0.8431372549019608,-0.0219738083741299,0.0513402744628168,,-0.0074912952292245,0.202803963083103,100.362,2026-02-15,2026-02-21T18:20:35.825501+00:00
EIX,0.9115044247787614,0.1055566237262064,0.0736078983569521,,0.0517633343048673,0.4998260869565217,215.738,2026-02-15,2026-02-21T18:20:35.825501+00:00
EXAS,-0.5238095238095237,0.2312187422906995,-0.016398315719833,,-0.0357988914858986,0.7010921228942794,105.572,2026-02-15,2026-02-21T18:20:35.825501+00:00
FCX,0.4736842105263159,-0.0152097902097901,-0.1116002238596016,,0.0214826181279432,0.1805432274099059,34.103,2026-02-15,2026-02-21T18:20:35.825501+00:00
FDX,0.3333333333333335,0.0683752902080392,0.0539909223794163,,0.0339729921819474,0.2186714389194256,,2026-02-15,2026-02-21T18:20:35.825501+00:00
FOLD,-2.2,0.1946338602429389,-0.142127729463199,,0.0751050237822449,0.8848522131065119,192.177,2026-02-15,2026-02-21T18:20:35.825501+00:00
FTAI,-1.4867256637168142,0.4321008857993018,-0.3604357875019659,,0.4662763799987325,0.3730736481057289,1381.477,2026-02-15,2026-02-21T18:20:35.825501+00:00
GEF.B,1.75,-0.2980029637993084,0.0578433877785228,,0.0593655435041311,0.2036590269400884,37.508,2026-02-15,2026-02-21T18:20:35.825501+00:00
GGB,-0.15625,0.0348204560792615,0.0174415875546201,,0.0197911911482763,0.1191166638668223,36.518,2026-02-15,2026-02-21T18:20:35.825501+00:00
GLBS,-0.7489203575374108,0.4073743016759776,0.2139873892112378,,0.0041720375656016,0.2628612257859638,63.539,2026-02-15,2026-02-21T18:20:35.825501+00:00
GLDD,1.0,0.0210908444184063,0.2096947827754121,,0.035298897457141,0.2241745856919648,96.907,2026-02-15,2026-02-21T18:20:35.825501+00:00
GNK,-1.0408163265306123,-0.1954153747030161,-0.1482604891647588,,-0.0011886351578638,0.1415898199471978,21.677,2026-02-15,2026-02-21T18:20:35.825501+00:00
GNRC,-0.4074074074074073,-0.0504531925427096,-0.0762433752311679,,0.0250254562840331,0.3831119941347131,52.479,2026-02-15,2026-02-21T18:20:35.825501+00:00
GOLD,0.2432432432432432,1.3618107860243698,0.294415805813915,,0.0177972193756595,0.0144158470873411,129.618,2026-02-15,2026-02-21T18:20:35.825501+00:00
GORO,-0.9,0.8744725738396624,1.30685529175281,,-0.1793005161389723,0.250060294235871,,2026-02-15,2026-02-21T18:20:35.825501+00:00
