zscore,vwap_dist_bps,satellite_pct,cooldown_bars,hold_bars,max_trades_day,avg_alpha_pct,avg_sharpe,avg_trades,avg_max_dd,min_alpha,max_alpha,pct_positive_alpha
2.0000,55.0000,0.3000,6,4,12,-1.1898,1.5651,60.4000,1.0879,-5.8720,2.0284,40.0000
2.4000,55.0000,0.3000,10,6,8,-1.1905,1.5623,51.6000,1.0861,-5.8713,2.0520,40.0000
2.4000,55.0000,0.3000,6,4,12,-1.1912,1.5392,53.6000,1.0844,-5.8856,2.0554,40.0000
2.8000,100.0000,0.3000,10,6,8,-1.1917,1.5582,30.0000,1.0972,-5.9257,2.0401,40.0000
2.8000,55.0000,0.3000,6,4,12,-1.1929,1.5317,49.6000,1.0852,-5.8846,2.0965,40.0000
2.0000,100.0000,0.3000,14,8,6,-1.1932,1.6109,37.4000,1.0941,-5.8446,2.0156,40.0000
2.4000,80.0000,0.3000,6,4,12,-1.1933,1.5484,43.8000,1.1062,-5.8898,2.0387,40.0000
2.8000,35.0000,0.3000,14,8,6,-1.1945,1.4842,49.2000,1.0946,-5.8927,2.1311,40.0000
3.2000,35.0000,0.3000,6,4,12,-1.1950,1.5773,51.4000,1.1032,-5.8660,1.9997,40.0000
3.2000,100.0000,0.3000,10,6,8,-1.1957,1.6222,28.8000,1.0957,-5.8875,1.9534,40.0000
2.8000,100.0000,0.3000,14,8,6,-1.1964,1.5388,30.2000,1.0943,-5.9257,2.0375,40.0000
2.0000,35.0000,0.3000,10,6,8,-1.1969,1.5493,64.0000,1.0967,-5.8400,1.9852,40.0000
3.2000,100.0000,0.3000,14,8,6,-1.1976,1.6143,28.8000,1.0928,-5.8875,1.9508,40.0000
2.8000,55.0000,0.3000,14,8,6,-1.1994,1.5275,45.6000,1.0805,-5.8851,2.0665,40.0000
2.0000,80.0000,0.3000,14,8,6,-1.2004,1.5389,45.4000,1.0978,-5.8653,2.0044,40.0000
