symbol,price,total_score,grade,vwap_crossing_score,vwap_deviation_score,mean_reversion_score,range_fitness_score,trend_range_ratio_score,liquidity_score,avg_range_pct,period_return_pct,adv_millions,reversion_rate_pct,n_days
LDOS,175.07000732421875,82.3,A,20.0,15.0,20.0,13.1,9.9,4.3,2.81,2.95,183.0,25.4,7
ADBE,262.3699951171875,82.0,A,19.4,15.0,4.3,19.8,15.0,8.5,3.54,-0.64,3891.0,11.6,7
AVGO,319.6199951171875,81.9,A,20.0,15.0,8.4,19.6,10.2,8.7,3.56,-3.57,24640.0,15.2,7
MRVL,81.69999694824219,81.9,A,16.6,15.0,13.3,18.9,9.2,9.0,3.69,4.26,1316.0,19.3,7
JKS,25.299999237060547,81.4,A,20.0,15.0,20.0,16.8,9.5,0.0,4.05,-4.47,11.0,27.1,7
CRTO,17.885000228881836,80.0,A,16.8,15.0,20.0,14.5,13.7,0.0,4.47,2.17,7.0,28.1,7
ALGN,190.08999633789062,79.7,A,19.0,15.0,10.1,16.9,15.0,3.7,3.19,0.74,188.0,16.5,7
VSAT,45.77000045776367,79.6,A,20.0,15.0,18.1,10.0,15.0,1.5,5.24,0.26,79.0,23.4,7
ADPT,16.030000686645508,79.6,A,20.0,15.0,15.4,15.4,13.8,0.0,4.31,2.04,19.0,21.1,7
PLUG,1.7999999523162842,79.5,A,20.0,15.0,18.6,7.1,14.5,4.2,5.75,-2.17,202.0,23.8,7
ADI,355.70001220703125,79.1,A,20.0,15.0,12.5,10.9,11.5,9.3,2.59,2.1,1641.0,18.6,7
SHOP,120.68000030517578,78.9,A,20.0,15.0,10.3,9.7,15.0,8.9,5.3,0.49,3412.0,16.7,7
SE,108.41000366210938,78.5,A,20.0,15.0,8.4,15.7,10.0,9.4,4.25,-4.39,455.0,15.1,7
RIVN,15.362500190734863,77.9,A,15.6,15.0,9.9,16.8,11.7,9.0,4.06,-3.2,586.0,16.4,7
EMR,150.75999450683594,77.9,A,20.0,15.0,5.5,15.2,15.0,7.1,3.02,-0.16,316.0,12.7,7
HOOD,75.8499984741211,77.8,A,18.3,15.0,8.2,14.8,12.6,8.9,4.41,2.85,7308.0,14.9,7
CHTR,234.5800018310547,77.7,A,17.7,15.0,6.6,18.6,13.6,6.2,3.74,-1.9,298.0,13.6,7
NIO,4.869999885559082,77.6,A,18.9,15.0,5.5,19.6,15.0,3.7,3.58,0.19,166.0,12.7,7
ONON,46.4900016784668,77.6,A,18.5,15.0,6.1,19.9,14.3,3.9,3.49,-1.38,173.0,13.2,7
TSLA,402.4200134277344,77.1,A,20.0,15.0,6.3,12.1,14.8,8.8,2.71,-0.89,110203.0,13.3,7
DPZ,402.5,77.1,A,19.8,15.0,10.4,17.4,5.9,8.6,3.24,5.3,1082.0,16.9,7
LMT,658.3099975585938,77.0,A,20.0,15.0,7.4,9.9,15.0,9.6,2.49,0.05,756.0,14.3,7
